cik,name,tickers,exchanges,entity_type,sic,state_of_incorporation,filing_date,report_date,url,file_size_in_bytes,download_success,download_error,word_count,report_year,original_row_number,reason_type,dedup_action,dedup_rule,accession_number
0001965052,Marblegate Capital Corp,MGTE|MGTEW,OTC|OTC,operating,6199.0,DE,2025-04-07,2024-12-31,https://www.sec.gov/Archives/edgar/data/1965052/000119312525074703/d897922d10k.htm,2418751,True,,91515.0,2024,161243,,kept,kept_unflagged_or_reason1,0001193125-25-074703
0001115463,Alliance Distributors Holding Inc.,,,operating,3577.0,DE,2007-03-29,2006-12-31,https://www.sec.gov/Archives/edgar/data/1115463/000114420407015193/v069636_10k.htm,1658593,True,,26763.0,2006,74016,,kept,kept_unflagged_or_reason1,0001144204-07-015193
0000085942,WATERMARK INVESTORS REALTY TRUST,,,operating,6798.0,TX,2007-03-27,2006-12-31,https://www.sec.gov/Archives/edgar/data/85942/000089808007000074/form10k.txt,118247,True,,11995.0,2006,10344,,kept,kept_unflagged_or_reason1,0000898080-07-000074
0001096296,MINERALRITE Corp,RITE,OTC,operating,1090.0,TX,2013-04-16,2012-12-31,https://www.sec.gov/Archives/edgar/data/1096296/000112785513000246/mineralrite10k123112.htm,1154335,True,,31127.0,2012,70505,,kept,kept_unflagged_or_reason1,0001127855-13-000246
0001350962,"IB3 Networks, Inc.",,,operating,4899.0,NV,2009-04-15,2008-12-31,https://www.sec.gov/Archives/edgar/data/1350962/000125529409000224/mainbody.htm,1045994,True,,23081.0,2008,103295,,kept,kept_unflagged_or_reason1,0001255294-09-000224
0001988280,Manulife Private Credit Fund,,,operating,,DE,2025-02-27,2024-12-31,https://www.sec.gov/Archives/edgar/data/1988280/000119312525039332/d896509d10k.htm,12879766,True,,95193.0,2024,161455,,kept,kept_unflagged_or_reason1,0001193125-25-039332
0001089819,Cleco Corporate Holdings LLC,,,operating,4911.0,LA,2022-03-08,2021-12-31,https://www.sec.gov/Archives/edgar/data/1089819/000108981922000006/cnl-20211231.htm,33115388,True,,123782.0,2021,69008,,kept,kept_unflagged_or_reason1,0001089819-22-000006
0000728478,KENT INTERNATIONAL HOLDINGS INC,,,operating,6770.0,NV,2010-03-30,2009-12-31,https://www.sec.gov/Archives/edgar/data/728478/000114036110014031/form10k.htm,735849,True,,14719.0,2009,20907,,kept,kept_unflagged_or_reason1,0001140361-10-014031
0000919134,MENDOCINO BREWING CO INC,,,operating,2082.0,CA,2012-03-30,2011-12-31,https://www.sec.gov/Archives/edgar/data/919134/000114420412018734/v305520_10k.htm,2788780,True,,41842.0,2011,45739,,kept,kept_unflagged_or_reason1,0001144204-12-018734
0001566826,"LogicMark, Inc.",LGMK,OTC,operating,3842.0,NV,2020-03-30,2019-12-31,https://www.sec.gov/Archives/edgar/data/1566826/000121390020008044/f10k2019_nxtidinc.htm,5389850,True,,42568.0,2019,137091,,kept,kept_unflagged_or_reason1,0001213900-20-008044
0000885307,JEWETT CAMERON TRADING CO LTD,JCTC,Nasdaq,operating,5211.0,OR,2011-11-14,2011-08-31,https://www.sec.gov/Archives/edgar/data/885307/000121716011000205/jcaug201110k.htm,746919,True,,19628.0,2011,39166,,kept,kept_unflagged_or_reason1,0001217160-11-000205
0000763846,China Industrial Waste Management Inc.,,,operating,4953.0,NV,2008-04-07,2007-12-31,https://www.sec.gov/Archives/edgar/data/763846/000114420408020831/v109813_10k.htm,1805582,True,,33012.0,2007,23487,,kept,kept_unflagged_or_reason1,0001144204-08-020831
0001668186,Capital Auto Receivables Asset Trust 2016-1,,,operating,6189.0,,2017-03-24,2016-12-31,https://www.sec.gov/Archives/edgar/data/1668186/000166818617000008/carat2016-112_31x1610xk.htm,273543,True,,2298.0,2016,147871,,kept,kept_unflagged_or_reason1,0001668186-17-000008
0001496712,Santander Drive Auto Receivables Trust 2010-2,,,operating,6189.0,DE,2015-03-30,2014-12-31,https://www.sec.gov/Archives/edgar/data/1496712/000119312515110768/d897503d10k.htm,293172,True,,2685.0,2014,128269,,kept,kept_unflagged_or_reason1,0001193125-15-110768
0001089297,NOVAGANT CORP,,,operating,4700.0,NV,2023-06-29,2023-03-31,https://www.sec.gov/Archives/edgar/data/1089297/000109690623001363/nvgt-20230331.htm,3230154,True,,46630.0,2023,68825,,kept,kept_unflagged_or_reason1,0001096906-23-001363
0001368883,SAN JOAQUIN BANCORP,,,operating,6022.0,CA,2007-03-16,2006-12-31,https://www.sec.gov/Archives/edgar/data/1368883/000136888307000011/form10k_2007sjqu.htm,1466070,True,,46811.0,2006,107135,,kept,kept_unflagged_or_reason1,0001368883-07-000011
0001501134,Invitae Corp,,,operating,8071.0,DE,2017-03-16,2016-12-31,https://www.sec.gov/Archives/edgar/data/1501134/000156459017004633/nvta-10k_20161231.htm,12529417,True,,52249.0,2016,129058,,kept,kept_unflagged_or_reason1,0001564590-17-004633
0001263762,"SELECT BANCORP, INC.",,,operating,6022.0,NC,2019-03-15,2018-12-31,https://www.sec.gov/Archives/edgar/data/1263762/000114420419014294/tv515888_10k.htm,44861858,True,,70725.0,2018,87588,,kept,kept_unflagged_or_reason1,0001144204-19-014294
0001394872,Ambient Water Corp,,,operating,3585.0,NV,2011-04-20,2010-12-31,https://www.sec.gov/Archives/edgar/data/1394872/000105291811000174/mips10kapr2011.htm,3683581,True,,16241.0,2010,112901,,kept,kept_unflagged_or_reason1,0001052918-11-000174
0001550913,"MacKenzie Realty Capital, Inc.",MKZR,Nasdaq,operating,6798.0,MD,2018-09-24,2018-06-30,https://www.sec.gov/Archives/edgar/data/1550913/000155091318000076/mrc10k063018.htm,2082183,True,,41535.0,2018,135044,,kept,kept_unflagged_or_reason1,0001550913-18-000076
0001080280,ST JOHN KNITS INTERNATIONAL INC,,,operating,2253.0,DE,2005-01-31,2004-10-31,https://www.sec.gov/Archives/edgar/data/1080280/000119312505014485/d10k.htm,1852309,True,,38503.0,2004,66720,,kept,kept_unflagged_or_reason1,0001193125-05-014485
0000039648,G&K SERVICES LLC,,,operating,7200.0,MN,2010-08-26,2010-07-03,https://www.sec.gov/Archives/edgar/data/39648/000095012310081070/c60012e10vk.htm,1170635,True,,36977.0,2010,5063,,kept,kept_unflagged_or_reason1,0000950123-10-081070
0001328581,BOISE CASCADE Co,BCC,NYSE,operating,5030.0,ID,2022-02-22,2021-12-31,https://www.sec.gov/Archives/edgar/data/1328581/000132858122000017/bcc-20211231.htm,22616706,True,,52966.0,2021,99209,,kept,kept_unflagged_or_reason1,0001328581-22-000017
0001674440,AIRWA INC.,YYAI,Nasdaq,operating,7370.0,DE,2018-08-14,2018-04-30,https://www.sec.gov/Archives/edgar/data/1674440/000167444018000008/f10kaugus13updated.htm,1491425,True,,7888.0,2018,148409,,kept,kept_unflagged_or_reason1,0001674440-18-000008
0001267602,ALIMERA SCIENCES INC,,,operating,2834.0,DE,2012-03-30,2011-12-31,https://www.sec.gov/Archives/edgar/data/1267602/000119312512143815/d306753d10k.htm,3779671,True,,62776.0,2011,88246,,kept,kept_unflagged_or_reason1,0001193125-12-143815
0001746406,CD 2018-CD7 Mortgage Trust,,,operating,6189.0,DE,2023-03-20,2022-12-31,https://www.sec.gov/Archives/edgar/data/1746406/000188852423003599/cdd18cd7_10k-2022.htm,17522359,True,,10284.0,2022,153064,,kept,kept_unflagged_or_reason1,0001888524-23-003599
0001691198,CSMC 2016-NXSR Commercial Mortgage Trust,,,operating,6189.0,DE,2021-03-12,2020-12-31,https://www.sec.gov/Archives/edgar/data/1691198/000105640421002556/csc16nxr_10k-2020.htm,7228104,True,,9614.0,2020,149703,,kept,kept_unflagged_or_reason1,0001056404-21-002556
0001803308,BANK 2020-BNK26,,,operating,6189.0,DE,2024-03-29,2023-12-31,https://www.sec.gov/Archives/edgar/data/1803308/000188852424005318/msc20b26_10k-2023.htm,22342044,True,,10896.0,2023,155674,,kept,kept_unflagged_or_reason1,0001888524-24-005318
0001492298,"Sabra Health Care REIT, Inc.",SBRA,Nasdaq,operating,6798.0,MD,2017-02-22,2016-12-31,https://www.sec.gov/Archives/edgar/data/1492298/000149229817000006/sbra10k2016.htm,28941755,True,,66716.0,2016,127575,,kept,kept_unflagged_or_reason1,0001492298-17-000006
